window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-16,1905,194,0.62,0.717,0.016,0.024,0.5222214122296521
2,2025-10-17,2025-11-13,2344,194,0.587,0.699,0.025,0.023,0.5781943209537743
3,2025-11-14,2025-11-18,1969,194,0.652,0.768,0.018,0.02,0.501880084454769
4,2025-11-19,2025-11-23,2367,194,0.597,0.626,0.012,0.022,0.634924139808167
