window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-16,1905,194,0.612,0.704,0.019,0.025,0.5518138541780607
2,2025-10-17,2025-11-13,2344,194,0.606,0.724,0.016,0.023,0.5761511578728722
3,2025-11-14,2025-11-18,1969,194,0.66,0.731,0.022,0.022,0.5189224464443092
4,2025-11-19,2025-11-23,2095,194,0.557,0.622,0.016,0.035,0.6195924884715333
