window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,189,0.66,0.658,0.033,0.022,0.6572019307540485
2,2025-10-16,2025-11-11,2165,189,0.604,0.611,0.015,0.047,0.6724703370148747
3,2025-11-13,2025-11-16,1533,189,0.65,0.681,0.031,0.038,0.6088812288921016
4,2025-11-17,2025-11-20,1359,189,0.596,0.662,0.019,0.032,0.6094559541275559
