window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,191,0.66,0.661,0.033,0.017,0.6369175239771301
2,2025-10-16,2025-11-11,2165,191,0.605,0.637,0.015,0.064,0.6553825040349783
3,2025-11-13,2025-11-16,1533,191,0.65,0.681,0.031,0.037,0.6066616790924577
4,2025-11-17,2025-11-20,1359,191,0.596,0.647,0.019,0.016,0.6161222608021274
