window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.658,0.662,0.024,0.034,0.6619957685980769
2,2025-10-16,2025-11-11,2165,194,0.551,0.602,0.01,0.044,0.6808977623580535
3,2025-11-13,2025-11-17,1810,194,0.6,0.653,0.039,0.011,0.6398822698067942
4,2025-11-18,2025-11-21,1576,194,0.583,0.636,0.013,0.075,0.6326838295610469
