window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.667,0.729,0.021,0.028,0.5212040864585197
2,2025-10-16,2025-11-11,2165,194,0.59,0.708,0.01,0.03,0.5631993017946422
3,2025-11-13,2025-11-17,1810,194,0.663,0.708,0.028,0.019,0.5791090696682629
4,2025-11-18,2025-11-22,2360,194,0.648,0.682,0.021,0.033,0.5887489990983416
