window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.658,0.664,0.024,0.031,0.6673925320418539
2,2025-10-16,2025-11-11,2165,194,0.551,0.602,0.01,0.028,0.6810734910966291
3,2025-11-13,2025-11-17,1810,194,0.6,0.653,0.039,0.012,0.6432224212793154
4,2025-11-18,2025-11-21,1576,194,0.583,0.636,0.013,0.072,0.6319913098447617
