window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.633,0.656,0.033,0.021,0.6653048521923036
2,2025-10-16,2025-11-11,2165,194,0.57,0.589,0.039,0.075,0.6826965362357748
3,2025-11-13,2025-11-17,1810,194,0.663,0.688,0.029,0.034,0.6109892622997153
4,2025-11-18,2025-11-22,2360,194,0.531,0.583,0.02,0.083,0.669654002355065
