window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-16,1905,194,0.626,0.708,0.02,0.025,0.5491239737233274
2,2025-10-17,2025-11-13,2344,194,0.587,0.71,0.023,0.029,0.5660018871340069
3,2025-11-14,2025-11-18,1969,194,0.649,0.736,0.021,0.013,0.5311565351767051
4,2025-11-19,2025-11-23,2367,194,0.579,0.634,0.013,0.024,0.6272004168344448
