window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.667,0.7,0.021,0.041,0.5736879847036593
2,2025-10-16,2025-11-11,2165,194,0.59,0.685,0.01,0.041,0.5575661605045222
3,2025-11-13,2025-11-17,1810,194,0.663,0.723,0.027,0.029,0.5499537679188867
4,2025-11-18,2025-11-22,2360,194,0.648,0.688,0.021,0.036,0.5887040535466357
