window_idx,window_start,window_end,sample_count,valid_predictors_count,lr_f1,lgb_f1,lr_cv_var,lgb_cv_var,lgb_logloss
1,2025-10-11,2025-10-15,1738,194,0.667,0.777,0.023,0.021,0.4492214264363812
2,2025-10-16,2025-11-11,2165,194,0.589,0.685,0.016,0.034,0.5526188538371863
3,2025-11-13,2025-11-17,1810,194,0.663,0.729,0.028,0.032,0.5654315081553446
4,2025-11-18,2025-11-22,2360,194,0.642,0.682,0.019,0.042,0.5858130409407655
